"Package";"Version";"License";"NeedsCompilation";"recDep";"depLen";"OBSpkg";"File";"OBSVersion"
"abdiv";"0.2.0";"MIT + file LICENSE";"no";"ape Rcpp";2;"R-abdiv";"abdiv_0.2.0.tar.gz";"0.2.0"
"abe";"3.0.1";"GPL (>= 2)";"no";"";0;"R-abe";"abe_3.0.1.tar.gz";"3.0.1"
"abf2";"0.7-1";"Artistic-2.0";"no";"";0;"R-abf2";"abf2_0.7-1.tar.gz";"0.7-1"
"ABHgenotypeR";"1.0.1";"GPL-3";"no";"ggplot2 reshape2 digest glue gtable isoband rlang scales tibble withr plyr Rcpp stringr testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite magrittr stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";45;NA;NA;NA
"abind";"1.4-5";"LGPL (>= 2)";"no";"";0;"R-abind";"abind_1.4-5.tar.gz";"1.4-5"
"abjutils";"0.2.3";"MIT + file LICENSE";"no";"devtools dplyr furrr future glue httr magrittr progress purrr readr rlang rstudioapi scales stringi stringr tibble tidyr usethis callr cli covr crayon desc digest DT ellipsis git2r jsonlite memoise pkgbuild pkgload rcmdcheck remotes roxygen2 rversions sessioninfo testthat withr generics lifecycle R6 tidyselect vctrs globals listenv curl mime openssl hms prettyunits Rcpp clipr BH farver labeling munsell RColorBrewer viridisLite fansi pillar pkgconfig processx assertthat rex yaml rprojroot htmltools htmlwidgets crosstalk promises colorspace askpass utf8 xopen brew commonmark knitr xml2 evaluate praise fs gh rematch2 whisker sys lazyeval ini highr markdown xfun ps later backports";93;NA;NA;NA
"abn";"2.2";"GPL (>= 2)";"yes";"lme4 rjags Rcpp RcppArmadillo minqa nloptr statmod RcppEigen coda";9;NA;NA;NA
"abnormality";"0.1.0";"MIT + file LICENSE";"no";"";0;"R-abnormality";"abnormality_0.1.0.tar.gz";"0.1.0"
"abodOutlier";"0.1";"MIT + file LICENSE";"no";"";0;"R-abodOutlier";"abodOutlier_0.1.tar.gz";"0.1"
"ABPS";"0.3";"GPL (>= 2)";"no";"kernlab";1;"R-ABPS";"ABPS_0.3.tar.gz";"0.3"
"AbsFilterGSEA";"1.5.1";"GPL-2";"yes";"Rcpp Biobase DESeq limma RcppArmadillo";5;NA;NA;NA
"AbSim";"0.2.6";"GPL-2";"no";"ape poweRlaw Rcpp pracma";4;"R-AbSim";"AbSim_0.2.6.tar.gz";"0.2.6"
"abstractr";"0.1.0";"GPL-3";"no";"shiny ggplot2 gridExtra colourpicker shinythemes emojifont rintrojs htmltools htmlwidgets jsonlite miniUI shinyjs proto showtext sysfonts digest glue gtable isoband rlang scales tibble withr httpuv mime xtable R6 sourcetools later promises crayon fastmap Rcpp yaml BH testthat magrittr farver labeling lifecycle munsell RColorBrewer viridisLite showtextdb cli ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";65;NA;NA;NA
"abtest";"0.2.1";"GPL (>= 2)";"yes";"Rcpp mvtnorm sn qgam truncnorm plotrix RColorBrewer shiny plyr doParallel mnormt numDeriv quantreg foreach iterators tmvnsim SparseM MatrixModels httpuv mime jsonlite xtable digest htmltools R6 sourcetools later promises crayon rlang fastmap BH magrittr";33;NA;NA;NA
"abundant";"1.1";"GPL-2";"yes";"QUIC";1;"R-abundant";"abundant_1.1.tar.gz";"1.1"
"Ac3net";"1.2.2";"GPL (>= 3)";"no";"data.table";1;NA;NA;NA
"ACA";"1.1";"GPL";"no";"";0;"R-ACA";"ACA_1.1.tar.gz";"1.1"
"acc";"1.3.3";"GPL (>= 2)";"yes";"mhsmm zoo PhysicalActivity nleqslv plyr DBI RSQLite circlize ggplot2 R.utils iterators Rcpp RcppArmadillo GlobalOptions shape colorspace digest glue gtable isoband rlang scales tibble withr mvtnorm R.oo R.methodsS3 bit64 blob memoise pkgconfig BH plogr bit vctrs testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar assertthat utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";63;NA;NA;NA
"accelerometry";"3.1.2";"GPL-3";"yes";"Rcpp dvmisc rbenchmark dplyr cubature data.table ggplot2 mvtnorm pracma survey tab ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs digest gtable isoband scales withr minqa numDeriv mitools knitr gee xtable testthat evaluate highr markdown stringr yaml xfun DBI farver labeling munsell RColorBrewer viridisLite cli crayon fansi pillar pkgconfig purrr assertthat mime colorspace utf8 stringi pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";67;NA;NA;NA
"accelmissing";"1.4";"GPL (>= 2)";"no";"mice pscl broom dplyr tidyr Rcpp backports generics purrr reshape2 stringr tibble ellipsis glue lifecycle magrittr R6 rlang tidyselect vctrs stringi plyr cli crayon fansi pillar pkgconfig digest assertthat utf8";30;NA;NA;NA
"accept";"0.7.1";"GPL-3";"no";"dplyr stringr extrafont plotly viridis ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs extrafontdb Rttf2pt1 ggplot2 scales httr jsonlite digest viridisLite base64enc htmltools htmlwidgets tidyr hexbin RColorBrewer lazyeval crosstalk purrr data.table promises stringi gridExtra gtable isoband withr Rcpp yaml curl mime openssl later farver labeling munsell cli crayon fansi pillar pkgconfig assertthat testthat BH colorspace askpass utf8 sys evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";72;NA;NA;NA
"AcceptanceSampling";"1.0-6";"GPL (>= 3)";"no";"";0;"R-AcceptanceSampling";"AcceptanceSampling_1.0-6.tar.gz";"1.0-6"
"ACCLMA";"1.0";"GPL-2";"no";"";0;"R-ACCLMA";"ACCLMA_1.0.tar.gz";"1.0"
"accrual";"1.3";"GPL-2";"no";"tcltk2 fgui SMPracticals ellipse";4;NA;NA;NA
"accrued";"1.4.1";"GPL-3";"no";"";0;"R-accrued";"accrued_1.4.1.tar.gz";"1.4.1"
"accSDA";"1.0.0";"GPL (>= 2)";"no";"rARPACK sparseLDA ggplot2 ggthemes gridExtra digest glue gtable isoband rlang scales tibble withr purrr stringr RSpectra elasticnet mda lars Rcpp testthat magrittr RcppEigen farver labeling lifecycle munsell R6 RColorBrewer viridisLite stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";53;NA;NA;NA
"ACD";"1.5.3";"GPL (>= 2)";"no";"";0;"R-ACD";"ACD_1.5.3.tar.gz";"1.5.3"
"ACDm";"1.0.4";"GPL (>= 2)";"yes";"plyr dplyr ggplot2 Rsolnp zoo ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs digest gtable isoband scales withr Rcpp truncnorm testthat farver labeling munsell RColorBrewer viridisLite cli crayon fansi pillar pkgconfig purrr assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";49;NA;NA;NA
"ace2fastq";"0.6.0";"GPL-3";"no";"stringr glue magrittr stringi";4;"R-ace2fastq";"ace2fastq_0.6.0.tar.gz";"0.6.0"
"acebayes";"1.9";"GPL-2";"yes";"lhs Rcpp compare randtoolbox RcppArmadillo rngWELL";6;"R-acebayes";"acebayes_1.9.tar.gz";"1.9"
"acepack";"1.4.1";"MIT + file LICENSE";"yes";"";0;"R-acepack";"acepack_1.4.1.tar.gz";"1.4.1"
"ACEt";"1.8.0";"GPL (>= 2)";"yes";"Rcpp BH RcppArmadillo";3;NA;NA;NA
"acfMPeriod";"1.0.0";"GPL (>= 2)";"no";"";0;"R-acfMPeriod";"acfMPeriod_1.0.0.tar.gz";"1.0.0"
"acid";"1.1";"GPL-3";"no";"gamlss gamlss.dist Hmisc gamlss.data Formula ggplot2 latticeExtra acepack gtable gridExtra data.table htmlTable viridis htmltools base64enc digest glue isoband rlang scales tibble withr stringr knitr magrittr checkmate htmlwidgets rstudioapi Rcpp png jpeg RColorBrewer viridisLite backports jsonlite yaml testthat evaluate highr markdown xfun farver labeling lifecycle munsell R6 stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat mime colorspace utf8 pkgload praise desc pkgbuild rprojroot callr prettyunits processx ps";67;NA;NA;NA
"acm4r";"1.0";"GPL";"no";"";0;"R-acm4r";"acm4r_1.0.tar.gz";"1.0"
"acmeR";"1.1.0";"MIT + file LICENSE";"no";"";0;"R-acmeR";"acmeR_1.1.0.tar.gz";"1.1.0"
"ACNE";"0.8.1";"LGPL (>= 2.1)";"no";"aroma.affymetrix R.methodsS3 R.oo R.utils matrixStats R.filesets aroma.core R.cache R.devices aroma.apd listenv future R.rsp RColorBrewer PSCBS BiocManager digest R.huge globals aroma.light DNAcopy base64enc";22;NA;NA;NA
"acnr";"1.0.0";"LGPL (>= 2.1)";"no";"";0;"R-acnr";"acnr_1.0.0.tar.gz";"1.0.0"
"acopula";"0.9.3";"GPL-2";"no";"";0;"R-acopula";"acopula_0.9.3.tar.gz";"0.9.3"
"AcousticNDLCodeR";"1.0.2";"GPL (>= 2)";"no";"tuneR zoo seewave signal";4;NA;NA;NA
"acp";"2.1";"GPL-2";"no";"tseries quantmod xts zoo TTR curl quadprog";7;NA;NA;NA
"aCRM";"0.1.1";"GPL (>= 2)";"no";"dummies randomForest kernelFactory ada AUC genalg kernlab";7;NA;NA;NA
"AcrossTic";"1.0-3";"GPL (>= 2)";"no";"treeClust lpSolve";2;"R-AcrossTic";"AcrossTic_1.0-3.tar.gz";"1.0-3"
"acrt";"1.0.1";"GPL-2";"yes";"sandwich Rcpp RcppEigen zoo";4;"R-acrt";"acrt_1.0.1.tar.gz";"1.0.1"
"acs";"2.1.4";"GPL-3";"no";"stringr XML plyr httr curl jsonlite mime openssl R6 Rcpp glue magrittr stringi askpass sys";15;NA;NA;NA
"ACSNMineR";"0.16.8.25";"GPL-2";"no";"ggplot2 gridExtra scales digest glue gtable isoband rlang tibble withr farver labeling lifecycle munsell R6 RColorBrewer viridisLite Rcpp testthat colorspace cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";42;NA;NA;NA
"acss";"0.2-5";"GPL (>= 2)";"no";"acss.data zoo";2;"R-acss";"acss_0.2-5.tar.gz";"0.2-5"
"acss.data";"1.0";"GPL (>= 2)";"no";"";0;"R-acss.data";"acss.data_1.0.tar.gz";"1.0"
"ACSWR";"1.0";"GPL-2";"no";"";0;"R-ACSWR";"ACSWR_1.0.tar.gz";"1.0"
"ACTCD";"1.2-0";"GPL (>= 2)";"yes";"R.methodsS3 GDINA alabama ggplot2 nloptr numDeriv Rcpp Rsolnp shiny shinydashboard RcppArmadillo digest glue gtable isoband rlang scales tibble withr truncnorm httpuv mime jsonlite xtable htmltools R6 sourcetools later promises crayon fastmap BH testthat magrittr farver labeling lifecycle munsell RColorBrewer viridisLite cli ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";61;NA;NA;NA
"ActFrag";"0.1.1";"GPL-3";"no";"accelerometry dplyr ineq tidyr Rcpp dvmisc ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs purrr stringi rbenchmark cubature data.table ggplot2 mvtnorm pracma survey tab cli crayon fansi pillar pkgconfig digest assertthat gtable isoband scales withr utf8 minqa numDeriv mitools knitr gee xtable testthat evaluate highr markdown stringr yaml xfun DBI farver labeling munsell RColorBrewer viridisLite mime colorspace pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";70;NA;NA;NA
"Actigraphy";"1.4.0";"Apache License (== 2.0)";"no";"fda";1;"R-Actigraphy";"Actigraphy_1.4.0.tar.gz";"1.4.0"
"ActiveDriver";"1.0.0";"GPL (>= 2)";"no";"";0;"R-ActiveDriver";"ActiveDriver_1.0.0.tar.gz";"1.0.0"
"ActiveDriverWGS";"1.0.1";"GPL-3";"no";"BSgenome BSgenome.Hsapiens.UCSC.hg19 Biostrings GenomeInfoDb GenomicRanges IRanges S4Vectors plyr Rcpp";9;NA;NA;NA
"activegp";"1.0.4";"BSD_3_clause + file LICENSE";"yes";"Rcpp hetGP lhs numDeriv RcppArmadillo DiceDesign";6;NA;NA;NA
"activity";"1.3";"GPL-3";"no";"circular pbapply insol mvtnorm raster sp Rcpp";7;NA;NA;NA
"activityCounts";"0.1.2";"GPL-3";"no";"seewave signal tibble lubridate magrittr generics Rcpp tuneR cli crayon ellipsis fansi lifecycle pillar pkgconfig rlang vctrs assertthat glue utf8 digest";21;NA;NA;NA
"activPAL";"0.1.3";"GPL-3";"no";"dplyr ggplot2 tidyr lubridate magrittr devtools usethis callr cli covr crayon desc digest DT ellipsis glue git2r httr jsonlite memoise pkgbuild pkgload rcmdcheck remotes rlang roxygen2 rstudioapi rversions sessioninfo testthat withr generics lifecycle R6 tibble tidyselect vctrs gtable isoband scales Rcpp purrr stringi processx assertthat fansi rex yaml rprojroot htmltools htmlwidgets crosstalk promises curl mime openssl prettyunits xopen brew commonmark knitr stringr xml2 farver labeling munsell RColorBrewer viridisLite evaluate praise pillar pkgconfig clipr fs gh rematch2 whisker lazyeval ini highr markdown xfun colorspace askpass utf8 ps later backports sys BH";90;NA;NA;NA
"activpalProcessing";"1.0.2";"GPL-2 | GPL-3";"no";"chron";1;"R-activpalProcessing";"activpalProcessing_1.0.2.tar.gz";"1.0.2"
"actogrammr";"0.2.3";"GPL-3";"no";"dplyr ggplot2 lubridate readr tidyr ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs digest gtable isoband scales withr Rcpp hms clipr crayon BH purrr stringi pkgconfig testthat farver labeling munsell RColorBrewer viridisLite cli fansi pillar assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";52;NA;NA;NA
"actuar";"3.0-0";"GPL (>= 2)";"yes";"expint";1;"R-actuar";"actuar_2.3-3.tar.gz";"2.3-3"
"actuaryr";"1.1.1";"MIT + file LICENSE";"no";"lubridate dplyr magrittr crayon purrr tibble ellipsis generics glue lifecycle R6 rlang tidyselect vctrs Rcpp cli fansi pillar pkgconfig assertthat utf8 digest";22;NA;NA;NA
"AcuityView";"0.1";"GPL (>= 2)";"no";"imager fftwtools plotrix magrittr Rcpp stringr png jpeg readbitmap purrr downloader igraph digest pkgconfig rlang bmp tiff glue stringi";19;NA;NA;NA
"ada";"2.0-5";"GPL";"no";"";0;"R-ada";"ada_2.0-5.tar.gz";"2.0-5"
"adabag";"4.2";"GPL (>= 2)";"no";"caret foreach doParallel ggplot2 plyr ModelMetrics reshape2 recipes withr pROC iterators digest glue gtable isoband rlang scales tibble Rcpp data.table dplyr generics gower ipred lubridate magrittr purrr tidyr tidyselect timeDate stringr ellipsis lifecycle R6 vctrs prodlim testthat farver labeling munsell RColorBrewer viridisLite stringi cli crayon fansi pillar pkgconfig assertthat colorspace utf8 lava evaluate pkgload praise numDeriv SQUAREM desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";66;NA;NA;NA
"adagio";"0.7.1";"GPL (>= 3)";"yes";"";0;"R-adagio";"adagio_0.7.1.tar.gz";"0.7.1"
"adamethods";"1.2";"GPL (>= 2)";"no";"Anthropometry archetypes FNN foreach nnls tolerance univOutl shapes rgl depth ICGE biclust modeltools iterators robustbase Hmisc colorspace flexclust additivityTests tidyr ggplot2 abind circular Formula latticeExtra acepack gtable gridExtra data.table htmlTable viridis htmltools base64enc htmlwidgets knitr jsonlite shiny magrittr crosstalk manipulateWidget DEoptimR minpack.lm scatterplot3d mvtnorm lazyeval R6 digest glue isoband rlang scales tibble withr stringr checkmate rstudioapi Rcpp yaml evaluate highr markdown xfun png jpeg RColorBrewer miniUI webshot httpuv mime xtable sourcetools later promises crayon fastmap dplyr ellipsis purrr stringi tidyselect vctrs lifecycle viridisLite backports generics BH testthat farver labeling munsell cli fansi pillar pkgconfig callr processx assertthat utf8 pkgload praise desc pkgbuild rprojroot ps prettyunits";105;NA;NA;NA
"AdapEnetClass";"1.2";"GPL-2";"no";"imputeYn glmnet lars quadprog foreach shape emplik mvtnorm quantreg iterators SparseM MatrixModels";12;NA;NA;NA
"adapr";"2.0.0";"LGPL-2";"no";"gdata plotly ggplot2 shiny shinydashboard knitr rmarkdown igraph digest devtools plyr git2r versions archivist doParallel RCurl httr DBI lubridate RSQLite magrittr flock usethis callr cli covr crayon desc DT ellipsis glue jsonlite memoise pkgbuild pkgload rcmdcheck remotes rlang roxygen2 rstudioapi rversions sessioninfo testthat withr foreach iterators gtools gtable isoband scales tibble pkgconfig evaluate highr markdown stringr yaml xfun viridisLite base64enc htmltools htmlwidgets tidyr hexbin RColorBrewer dplyr lazyeval crosstalk purrr data.table promises Rcpp mime tinytex httpuv xtable R6 sourcetools later fastmap processx assertthat fansi rex rprojroot generics lifecycle tidyselect vctrs BH curl openssl prettyunits xopen bitops brew commonmark stringi xml2 bit64 blob plogr farver labeling munsell praise pillar clipr fs gh rematch2 whisker bit ini colorspace askpass utf8 ps backports sys";120;NA;NA;NA
"AdapSamp";"1.1.1";"GPL-2";"no";"pracma";1;"R-AdapSamp";"AdapSamp_1.1.1.tar.gz";"1.1.1"
"adaptalint";"0.2.4";"GPL-3";"no";"dplyr lintr purrr ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs rex crayon cyclocomp testthat digest rstudioapi httr jsonlite knitr xml2 xmlparsedata callr desc remotes withr curl mime openssl evaluate highr markdown stringr yaml xfun lazyeval cli pkgload praise fansi pillar pkgconfig processx assertthat rprojroot askpass utf8 pkgbuild stringi sys prettyunits ps backports";55;NA;NA;NA
"AdaptFit";"0.2-2";"GPL (>= 2)";"no";"SemiPar";1;"R-AdaptFit";"AdaptFit_0.2-2.tar.gz";"0.2-2"
"AdaptFitOS";"0.67";"GPL (>= 2)";"yes";"SemiPar";1;"R-AdaptFitOS";"AdaptFitOS_0.67.tar.gz";"0.67"
"AdaptGauss";"1.5.6";"GPL-3";"yes";"Rcpp shiny pracma DataVisualizations ggplot2 sp RcppArmadillo httpuv mime jsonlite xtable digest htmltools R6 sourcetools later promises crayon rlang fastmap glue gtable isoband scales tibble withr BH magrittr testthat farver labeling lifecycle munsell RColorBrewer viridisLite cli ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";56;NA;NA;NA
"adaptiveGPCA";"0.1.2";"AGPL-3";"no";"ape ggplot2 shiny phyloseq Rcpp digest glue gtable isoband rlang scales tibble withr httpuv mime jsonlite xtable htmltools R6 sourcetools later promises crayon fastmap BH testthat magrittr farver labeling lifecycle munsell RColorBrewer viridisLite cli ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";54;NA;NA;NA
"AdaptiveSparsity";"1.6";"LGPL (>= 3.0)";"yes";"Rcpp RcppArmadillo";2;"R-AdaptiveSparsity";"AdaptiveSparsity_1.6.tar.gz";"1.6"
"adaptivetau";"2.2-3";"GPL (>= 3)";"yes";"";0;"R-adaptivetau";"adaptivetau_2.2-3.tar.gz";"2.2-3"
"adaptMCMC";"1.3";"GPL (>= 2)";"no";"coda";1;"R-adaptMCMC";"adaptMCMC_1.3.tar.gz";"1.3"
"adaptMT";"1.0.0";"MIT + file LICENSE";"no";"";0;"R-adaptMT";"adaptMT_1.0.0.tar.gz";"1.0.0"
"ADAPTS";"0.9.26";"MIT + file LICENSE";"no";"missForest e1071 WGCNA ComICS pheatmap doParallel quantmod preprocessCore pcaMethods foreach DeconRNASeq nnls glmnet iterators randomForest itertools RColorBrewer scales gtable xts zoo TTR curl dynamicTreeCut fastcluster matrixStats Hmisc impute GO.db AnnotationDbi Rcpp shape Formula ggplot2 latticeExtra acepack gridExtra data.table htmlTable viridis htmltools base64enc farver labeling lifecycle munsell R6 viridisLite digest glue isoband rlang tibble withr stringr knitr magrittr checkmate htmlwidgets rstudioapi png jpeg colorspace backports jsonlite yaml testthat evaluate highr markdown xfun stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat mime utf8 pkgload praise desc pkgbuild rprojroot callr prettyunits processx ps";91;NA;NA;NA
"adaptsmoFMRI";"1.1";"GPL-2";"no";"coda mvtnorm MCMCpack spatstat mcmc quantreg spatstat.data spatstat.utils deldir abind tensor polyclip goftest SparseM MatrixModels";15;NA;NA;NA
"adaptTest";"1.0";"GPL (>= 2)";"no";"";0;"R-adaptTest";"adaptTest_1.0.tar.gz";"1.0"
"AdaSampling";"1.3";"GPL-3";"no";"caret e1071 ggplot2 foreach plyr ModelMetrics reshape2 recipes withr pROC iterators digest glue gtable isoband rlang scales tibble Rcpp data.table dplyr generics gower ipred lubridate magrittr purrr tidyr tidyselect timeDate stringr ellipsis lifecycle R6 vctrs prodlim testthat farver labeling munsell RColorBrewer viridisLite stringi cli crayon fansi pillar pkgconfig assertthat colorspace utf8 lava evaluate pkgload praise numDeriv SQUAREM desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";66;NA;NA;NA
"ADCT";"0.1.0";"GPL (>= 2)";"no";"mvtnorm";1;"R-ADCT";"ADCT_0.1.0.tar.gz";"0.1.0"
"add2ggplot";"0.3.0";"MIT + file LICENSE";"no";"ggplot2 magrittr RColorBrewer magick zeallot digest glue gtable isoband rlang scales tibble withr Rcpp curl testthat farver labeling lifecycle munsell R6 viridisLite cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";44;NA;NA;NA
"addhaz";"0.5";"GPL-3";"no";"";0;"R-addhaz";"addhaz_0.5.tar.gz";"0.5"
"addhazard";"1.1.0";"GPL-2";"no";"ahaz rootSolve";2;"R-addhazard";"addhazard_1.1.0.tar.gz";"1.1.0"
"addinslist";"0.3";"MIT + file LICENSE";"no";"curl remotes DT miniUI shiny shinyjs rappdirs rmarkdown rvest xml2 htmltools htmlwidgets jsonlite magrittr crosstalk promises knitr yaml evaluate base64enc mime tinytex xfun stringr httr selectr httpuv xtable digest R6 sourcetools later crayon rlang fastmap lazyeval Rcpp BH openssl highr markdown glue stringi askpass sys";45;NA;NA;NA
"addinsOutline";"0.1.6";"GPL-3";"no";"shiny miniUI rstudioapi shinyFiles stringr dplyr tibble yaml rmarkdown fs DT ellipsis generics glue lifecycle magrittr R6 rlang tidyselect vctrs htmltools htmlwidgets jsonlite crosstalk promises knitr evaluate base64enc mime tinytex xfun httpuv xtable digest sourcetools later crayon fastmap stringi cli fansi pillar pkgconfig assertthat lazyeval Rcpp BH highr markdown utf8 purrr";51;NA;NA;NA
"additiveDEA";"1.1";"GPL-2";"no";"lpSolveAPI Benchmarking ucminf";3;NA;NA;NA
